,title,cast,listed_in,cast_count,rating,release_year
28,The Time Machine,"Guy Pearce, Samantha Mumba, Jeremy Irons, Mark Addy, Sienna Guillory, Phyllida Law, Alan Young, Omero Mumba, Yancey Arias, Orlando Jones","Action & Adventure, Sci-Fi & Fantasy",10.0,PG-13,2002
29,Brother,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor","Dramas, Independent Movies, International Movies",7.0,TV-MA,2019
30,Girls und Panzer der Film,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda, Mika Kikuchi, Maya Yoshioka","Action & Adventure, Anime Features, International Movies",10.0,TV-14,2015
31,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,Mike Birbiglia,Stand-Up Comedy,1.0,TV-14,2008
32,Shelby American,Carroll Shelby,"Documentaries, Sports Movies",1.0,TV-14,2019
33,K-19: The Widowmaker,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","Action & Adventure, Dramas",10.0,PG-13,2002
34,The Knight Before Christmas,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock","Children & Family Movies, Comedies, Romantic Movies",8.0,TV-14,2019
35,Adore,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Dramas, Independent Movies, International Movies",11.0,R,2013
36,Be Somebody,"Matthew Espinosa, Sarah Jeffery, Allison Paige, Tava Smiley, Caitlin Keats, LaMonica Garrett, Mahaley Patel, Mason McCulley, Liana Ramirez","Comedies, Dramas, Romantic Movies",9.0,PG,2016
37,Beavis and Butt-head Do America,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman","Comedies, Cult Movies",11.0,PG-13,1996
38,Bebe's Kids,"Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter",Comedies,8.0,PG-13,1992
39,"Bikram: Yogi, Guru, Predator",Bikram Choudhury,Documentaries,1.0,TV-MA,2019
40,Black Snake Moan,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams","Dramas, Independent Movies",10.0,R,2007
41,Carriers,"Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses","Horror Movies, Sci-Fi & Fantasy, Thrillers",8.0,PG-13,2009
42,Dorasaani,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore","Dramas, International Movies, Romantic Movies",3.0,TV-14,2019
43,Dream/Killer,"Bill Ferguson, Ryan Ferguson",Documentaries,2.0,TV-MA,2015
44,Evolution,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd","Comedies, Sci-Fi & Fantasy",10.0,PG-13,2001
45,Eye for an Eye,"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard, Joe Mantegna, Olivia Burnette, Alexandra Kyle, Keith David, Philip Baker Hall","Dramas, Thrillers",10.0,R,1996
46,Hot Rod,"Andy Samberg, Jorma Taccone, Bill Hader, Danny McBride, Isla Fisher, Sissy Spacek, Ian McShane, Will Arnett, Chris Parnell, Chester Tam","Comedies, Sports Movies",10.0,PG-13,2007
47,It Takes Two,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco, Jane Sibbett","Children & Family Movies, Comedies",6.0,PG,1995
48,"Lorena, Light-Footed Woman",Lorena Ramírez,"Documentaries, International Movies, Sports Movies",1.0,TV-G,2019
49,"Love, Rosie","Lily Collins, Sam Claflin, Christian Cooke, Jamie Beamish, Suki Waterhouse, Tamsin Egerton, Jaime Winstone, Lorcan Cranitch","Comedies, International Movies, Romantic Movies",8.0,R,2014
50,Mallesham,"Jhansi, Priyadarshi Pullikonda, Ananya Nagalla","Dramas, Independent Movies, International Movies",3.0,TV-PG,2019
